name,revenue
"The Thai Chicken Pizza",43434.25
"The Barbecue Chicken Pizza",42768
"The California Chicken Pizza",41409.5
"The Southwest Chicken Pizza",34705.75
"The Chicken Alfredo Pizza",16900.25
"The Chicken Pesto Pizza",16701.75
"The Classic Deluxe Pizza",38180.5
"The Hawaiian Pizza",32273.25
"The Pepperoni Pizza",30161.75
"The Greek Pizza",28454.100000000013
"The Italian Capocollo Pizza",25094
"The Napolitana Pizza",24087
"The Big Meat Pizza",22968
"The Pepperoni, Mushroom, and Peppers Pizza",18834.5
"The Spicy Italian Pizza",34831.25
"The Italian Supreme Pizza",33476.75
"The Sicilian Pizza",30940.5
"The Pepper Salami Pizza",25529
"The Prosciutto and Arugula Pizza",24193.25
"The Soppressata Pizza",16425.75
"The Calabrese Pizza",15934.25
"The Spinach Supreme Pizza",15277.75
"The Brie Carre Pizza",11588.4999999999
"The Four Cheese Pizza",32265.70000000065
"The Mexicana Pizza",26780.75
"The Five Cheese Pizza",26066.5
"The Vegetables + Vegetables Pizza",24374.75
"The Spinach and Feta Pizza",23271.25
"The Italian Vegetables Pizza",16019.25
"The Spinach Pesto Pizza",15596
"The Mediterranean Pizza",15360.5
"The Green Garden Pizza",13955.75
